ZST_Nummer;RichtungsNR;RichtungsName;Fahrzeugkategorien;Kommentar;Herkunft (DAV, KT, ASTRA);Koordinaten E (LV95);Koordinaten N (LV95);WGS84_lat;WGS84_lon;Pfeilgrad
Z004;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679762.52;1246863.95;47.36779007;8.494623261;230
Z004;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679771.84;1246852.29;47.36768408;8.494744558;70
Z005;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678874.03;1247598.55;47.37450361;8.482991115;240
Z005;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678871.97;1247592.79;47.37445205;8.482962827;60
Z006;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678023.77;1249754.67;47.39399579;8.472110139;300
Z006;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678017.34;1249747.52;47.39393224;8.472023732;120
Z007;1;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678132.31;1250215.47;47.39812709;8.473628164;105
Z007;2;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678135.59;1250227;47.39823039;8.473673623;285
Z008;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678639.3;1251013.35;47.4052424;8.480483689;280
Z008;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678533.23;1250991.72;47.40506053;8.479074778;80
Z009;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678841.72;1252207.33;47.41595609;8.483375733;350
Z009;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678836.59;1252206.8;47.41595193;8.483307668;170
Z025;1;Höngg;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679760.06;1250365.74;47.39928342;8.495214871;20
Z025;2;Altstetten;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679758.14;1250394.64;47.39954357;8.495194594;200
Z033;1;auswärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2682974.4;1248893.38;47.38564492;8.537517002;45
Z033;2;einwärts;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2682953.4;1248912.91;47.38582321;8.537242541;225
Z038;1;Bucheggplatz;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2682070.59;1249909.12;47.39489304;8.525735057;20
Z038;2;Hardbrücke;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2682064.64;1249911.79;47.39491779;8.525656743;200
Z039;4;Albisriederplatz und Hohlstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2681286.9;1248596.51;47.38318543;8.51511708;210
Z050;1;Höngg;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679597.69;1249679.24;47.39312911;8.492942023;10
Z050;2;Altstetten;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2679589.59;1249680.65;47.39314277;8.492834998;190
Z060;5;Bernerstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678202.38;1250180.13;47.39780094;8.474550081;15
Z060;6;Badenerstrasse;Anzahl Fahrzeuge (nicht spezifiziert);Geschwindigkeit: nein;DAV;2678191.96;1250174.04;47.39774741;8.474411001;195
