ZST_Nummer;Name;WGS84_lat;WGS84_lon;Herkunft (DAV, KT, ASTRA);pdf_link
M0609;Zürich: Birmensdorferstrasse;47.36970923;8.467405399;KT;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EfqZ2uIPNVFCtMJR4VVfMXEBZuIhSRNATBEoyiRprkJ5uQ?e=S59Ipz
M0709;Schlieren: Zürcherstrasse;47.39480507;8.469975186;KT;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EXzG3TMXlHxMpTXO1GRh_UsB4a62Kdut7w4biwaKVc0Pjg?e=5dr3sd
M2420;Oberengstringen: Zürcherstrasse;47.40527999;8.476956118;KT;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EbFdEoJVPgJNrMySjvE6OCgBnpLMdz4SKd9XwP3nf5YpvA?e=Iggvuo
O0066;Schlieren (AB);47.40527492;8.459347647;ASTRA;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EUeqCAlJoYREi8GwKomkd40BGUgC4jsK0YG3IeXq6nk5aw?e=ui8leb
O0287;Weiningen, Gubrist (AB);47.42437266;8.483939181;ASTRA;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/ESB6pMllNOxCiG5XfLzyF1IBZcADb9bA9yGUc9ygNOBrdA?e=P4hRbv
O0301;Birmensdorf N (AB);47.36784776;8.422962584;ASTRA;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EYJKdAICNJdNt1_99jWRL7sBCP261IepxHIe6gq0rOCApQ?e=qVQv1Z
O0518;Zürich Hardturm (AB);47.39352936;8.494185971;ASTRA;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EeJj9jVSfJdCqksD7Jw5a4gBa0E3TgiBLzcLZAqOXWHIRQ?e=DkafTj
Z004;Birmensdorferstrasse (Triemli);47.36773708;8.494683909;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EcnlyhjbWXFEhH0uiKVMf7QBDIkdyXEik0h5r2nBFcfnQg?e=QtasDQ
Z005;Albisriederstrasse (Lyrenweg);47.37447783;8.482976971;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EcDqBHcNB9pMkrA_KuYVUXQB41HznBrsbpxNMC4odIFTYQ?e=BLfJC0
Z006;Badenerstrasse (Hermetschloobrücke);47.39396402;8.472066935;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EbhUOZ61f7VNsH3bMWKQOe0BEKY2Hak1C-RgwwEQ5fNeQQ?e=DrQqPG
Z007;Bernerstrasse (Hermetschloobrücke);47.39817874;8.473650894;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EQp9y8oHQFJNkmorRDJXC08B4diClNfNvSRlFf8soW1slA?e=PtyexK
Z008;Limmattalstrasse (Frankentalerstrasse);47.40515146;8.479779233;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EfaDVVzgsfdDguzAfslNYS4BAdmyp0ggpbNL-gqX6AIJvA?e=kaZUbW
Z009;Regensdorferstrasse (Frankentalerstrasse);47.41595401;8.4833417;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/ET5PMFj9FcdJvymywY-ki9IBiRFWewkso85u-OR_Tgi1hg?e=Jtk88U
Z025;Europabrücke (Winzerstrasse);47.3994135;8.495204732;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EQcuctQKvyhPjqYfHp1IW2MBa__0cIFosIxqXslz_fbtTQ?e=2lC4dO
Z033;Milchbucktunnel (Südportal);47.38573407;8.537379772;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EebhOFWCmTtDurhOVhnVcPEBCbpkfsXdFs7wrJQnzlqR5Q?e=M8sfSo
Z038;Rosengartenstrasse (Nordstrasse);47.39490542;8.5256959;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/Ed54D57FxJFCtZZ6GJsu-mcB4BAnI0ktb0s7ZcPLAxDlmQ?e=3JwA7a
Z039;Hardbrücke (SBB PJZ);47.38318543;8.51511708;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EV_dTD1rO51Mmu26TES8XxYBgWvSlD6YNZRqcNkhU92AUA?e=0Lpmhg
Z050;Europabrücke (Max Högger- und Würzgrabenstrasse);47.39313594;8.492888511;DAV;https://ebpgroup.sharepoint.com/:b:/s/CH_P_223609/EcmTzBDEgrlOmHOZC_9sXe0BGDU8KnkFoz87zELbzzQRHQ?e=kcUx2x
